interactor A gene symbol,interactor B gene symbol,interactor A Uniprot AC,interactor B Uniprot AC
IFNG,IFNGR2,P01579,P38484
IFNG,IFNG,P01579,P01579
IFNG,GOPC,P01579,Q9HD26
IL12B,IL23A,P29460,Q9NPF7
LTA,ANKRD40,P01374,Q6AI12
LTA,LGALS2,P01374,P05162
CCL2,CCL2,P13500,P13500
