interactor A gene symbol,interactor B gene symbol,interactor A Uniprot AC,interactor B Uniprot AC,database source
CXCL10,KDR,P02778,P35968,IID
CXCL10,CCL8,P02778,P80075,IID
CXCL10,HCP5,P02778,Q6MZN7,IID
CXCL10,SELP,P02778,P16109,IID
CXCL10,HSPB1,P02778,P04792,IID
CXCL10,THBD,P02778,P07204,IID
CXCL10,STAB1,P02778,Q9NY15,IID
CXCL10,IL6R,P02778,P08887,IID
CXCL10,CXCL2,P02778,P19875,IID
CXCL10,MNDA,P02778,P41218,IID
CXCL10,HSPB2,P02778,Q16082,IID
CXCL10,BIRC3,P02778,Q13489,IID
CXCL10,RELA,P02778,Q04206,IID
CXCL10,IGFBP7,P02778,Q16270,IID
CXCL10,CCL15,P02778,Q16663,IID
CXCL10,CD2,P02778,P06729,IID
CXCL10,COL4A2,P02778,P08572,IID
CXCL10,MYD88,P02778,Q99836,IID
CXCL10,CHRD,P02778,Q9H2X0,IID
CXCL10,CHIA,P02778,Q9BZP6,IID
CXCL10,F3,P02778,P13726,IID
CXCL10,KAT2B,P02778,Q92831,IID
CXCL10,TRIM22,P02778,Q8IYM9,IID
CXCL10,PARP1,P02778,P09874,IID
CXCL10,CLEC5A,P02778,Q9NY25,IID
CXCL10,ARHGAP15,P02778,Q53QZ3,IID
CXCL10,TRIM21,P02778,P19474,IID
CXCL10,IFI44L,P02778,Q53G44,IID
CXCL10,GPX1,P02778,P07203,IID
CXCL10,OAS2,P02778,P29728,IID
CXCL10,LGALS3BP,P02778,Q08380,IID
CXCL10,CREBBP,P02778,Q92793,IID
CXCL10,CCL14,P02778,Q16627,IID
CXCL10,MSN,P02778,P26038,IID
CXCL10,RSAD2,P02778,Q8WXG1,IID
CXCL10,MMP14,P02778,P50281,IID
CXCL10,ROBO2,P02778,Q9HCK4,IID
CXCL10,FYN,P02778,P06241,IID
CXCL10,EP300,P02778,Q09472,IID
CXCL10,LYN,P02778,P07948,IID
CXCL10,IRF1,P02778,P10914,IID
CXCL10,CD276,P02778,Q5ZPR3,IID
CXCL10,CXCL5,P02778,P42830,IID
CXCL10,IFI35,P02778,P80217,IID
CXCL10,TNFSF10,P02778,P50591,IID
CXCL10,HSPA9,P02778,P38646,IID
CXCL10,IFI44,P02778,Q8TCB0,IID
CXCL10,CXCL1,P02778,P09341,IID
CXCL10,DYNLRB1,P02778,Q9NP97,IID
CXCL10,MALT1,P02778,Q9UDY8,IID
CXCL10,MX2,P02778,P20592,IID
CXCL10,IRF7,P02778,Q92985,IID
CXCL10,CCR3,P02778,P51677,IID
CXCL10,KLKB1,P02778,P03952,IID
CXCL10,XCL2,P02778,Q9UBD3,IID
CXCL10,SLC25A5,P02778,P05141,IID
CXCL10,HLA-F,P02778,P30511,IID
CXCL10,RELB,P02778,Q01201,IID
CXCL10,CASP1,P02778,P29466,IID
CXCL10,IGFBP2,P02778,P18065,IID
CXCL10,NFKB1,P02778,P19838,IID
CXCL10,HLA-G,P02778,P17693,IID
CXCL10,CCL26,P02778,Q9Y258,IID
CXCL10,F7,P02778,P08709,IID
CXCL10,LYZ,P02778,P61626,IID
CXCL10,NFKBIZ,P02778,Q9BYH8,IID
CXCL10,NOD2,P02778,Q9HC29,IID
CXCL10,CX3CL1,P02778,P78423,IID
CXCL10,AEN,P02778,Q8WTP8,IID
CXCL10,IKBKE,P02778,Q14164,IID
CXCL10,TNFAIP2,P02778,Q03169,IID
CXCL10,SP110,P02778,Q9HB58,IID
CXCL10,ISG20,P02778,Q96AZ6,IID
CXCL10,DGCR8,P02778,Q8WYQ5,IID
CXCL10,IFIT1,P02778,P09914,IID
CXCL10,EEF1A2,P02778,Q05639,IID
CXCL10,HOXA5,P02778,P20719,IID
CXCL10,MYOF,P02778,Q9NZM1,IID
CXCL10,OASL,P02778,Q15646,IID
CXCL10,PSMB9,P02778,P28065,IID
CXCL10,-,P02778,P62158,IID
CXCL10,ANXA4,P02778,P09525,IID
CXCL10,ELANE,P02778,P08246,IID
CXCL10,IGFBP5,P02778,P24593,IID
CXCL10,CXCL10,P02778,P02778,IID
CXCL10,DNAJA3,P02778,Q96EY1,IID
CXCL10,DDX60,P02778,Q8IY21,IID
CXCL10,VCAN,P02778,P13611,IID
CXCL10,TRIB3,P02778,Q96RU7,IID
CXCL10,CLEC7A,P02778,Q9BXN2,IID
CXCL10,SELE,P02778,P16581,IID
CXCL10,CCL11,P02778,P51671,IID
CXCL10,SERPINF1,P02778,P36955,IID
CXCL10,ACTG1,P02778,P63261,IID
CXCL10,CCR5,P02778,P51681,IID
CXCL10,PSMB8,P02778,P28062,IID
CXCL10,PLEK,P02778,P08567,IID
CXCL10,RUVBL2,P02778,Q9Y230,IID
CXCL10,CASP8,P02778,Q14790,IID
CXCL10,GNLY,P02778,P22749,IID
CXCL10,CD38,P02778,P28907,IID
CXCL10,SLAMF8,P02778,Q9P0V8,IID
CXCL10,MAPK7,P02778,Q13164,IID
CXCL10,BTG3,P02778,Q14201,IID
CXCL10,SP1,P02778,P08047,IID
CXCL10,WRN,P02778,Q14191,IID
CXCL10,CTSS,P02778,P25774,IID
CXCL10,CCL23,P02778,P55773,IID
CXCL10,TUBA3C,P02778,Q13748,IID
CXCL10,STAT3,P02778,P40763,IID
CXCL10,CTSG,P02778,P08311,IID
CXCL10,GBP5,P02778,Q96PP8,IID
CXCL10,DPP4,P02778,P27487,IID
CXCL10,PRKCA,P02778,P17252,IID
CXCL10,AEBP1,P02778,Q8IUX7,IID
CXCL10,CCL4,P02778,P13236,IID
CXCL10,TGM2,P02778,P21980,IID
CXCL10,IFIH1,P02778,Q9BYX4,IID
CXCL10,CCL7,P02778,P80098,IID
CXCL10,CCL17,P02778,Q92583,IID
CXCL10,HDAC1,P02778,Q13547,IID
CXCL10,TRH,P02778,P20396,IID
CXCL10,HSPA8,P02778,P11142,IID
CXCL10,CCL1,P02778,P22362,IID
CXCL10,CD97,P02778,P48960,IID
CXCL10,MAP3K8,P02778,P41279,IID
CXCL10,SMURF1,P02778,Q9HCE7,IID
CXCL10,ICAM1,P02778,P05362,IID
CXCL10,IRF2,P02778,P14316,IID
CXCL10,THBS4,P02778,P35443,IID
CXCL10,SP100,P02778,P23497,IID
CXCL10,KLK3,P02778,P07288,IID
CXCL10,HSPA5,P02778,P11021,IID
CXCL10,MICB,P02778,Q29980,IID
CXCL10,PARP12,P02778,Q9H0J9,IID
CXCL10,TAP1,P02778,Q03518,IID
CXCL10,NMI,P02778,Q13287,IID
CXCL10,AGGF1,P02778,Q8N302,IID
CXCL10,NFKBIA,P02778,P25963,IID
CXCL10,IRF9,P02778,Q00978,IID
CXCL10,PLA2G4A,P02778,P47712,IID
CXCL10,JUN,P02778,P05412,IID
CXCL10,TP53,P02778,P04637,IID
CXCL10,HSPA1L,P02778,P34931,IID
CXCL10,NFKBIB,P02778,Q15653,IID
CXCL10,CTSB,P02778,P07858,IID
CXCL10,NCOR2,P02778,Q9Y618,IID
CXCL10,CXCL12,P02778,P48061,IID
CXCL10,HMGA2,P02778,P52926,IID
CXCL10,CD86,P02778,P42081,IID
CXCL10,RBBP7,P02778,Q16576,IID
CXCL10,IFI27,P02778,P40305,IID
CXCL10,EPHA2,P02778,P29317,IID
CXCL10,CCL5,P02778,P13501,IID
CXCL10,CYBB,P02778,P04839,IID
CXCL10,IL10RA,P02778,Q13651,IID
CXCL10,DNMT3B,P02778,Q9UBC3,IID
CXCL10,MMP9,P02778,P14780,IID
CXCL10,CCL4L1,P02778,Q8NHW4,IID
CXCL10,SERPINE1,P02778,P05121,IID
CXCL10,CPB2,P02778,Q96IY4,IID
CXCL10,CASP6,P02778,P55212,IID
CXCL10,CCL2,P02778,P13500,IID
CXCL10,STAT1,P02778,P42224,IID
CXCL10,OSMR,P02778,Q99650,IID
CXCL10,CCR5,P02778,Q38L21,IID
CXCL10,IL12A,P02778,P29459,IID
CXCL10,TRAF6,P02778,Q9Y4K3,IID
CXCL10,AGER,P02778,Q15109,IID
CXCL10,ROBO1,P02778,Q9Y6N7,IID
CXCL10,NABP1,P02778,Q96AH0,IID
CXCL10,IRF8,P02778,Q02556,IID
CXCL10,MX1,P02778,P20591,IID
CXCL10,CXCL6,P02778,P80162,IID
CXCL10,CEBPB,P02778,P17676,IID
CXCL10,REL,P02778,Q04864,IID
CXCL10,CD40,P02778,P25942,IID
CXCL10,USP14,P02778,P54578,IID
CXCL10,IFIT2,P02778,P09913,IID
CXCL10,DPH3,P02778,Q96FX2,IID
CXCL10,CXCL8,P02778,P10145,IID
CXCL10,ITGA2,P02778,P17301,IID
CXCL10,VEGFB,P02778,P49765,IID
CXCL10,BTN3A2,P02778,P78410,IID
CXCL10,GTF2B,P02778,Q00403,IID
CXCL10,NEDD4,P02778,P46934,IID
CXCL10,CCL20,P02778,P78556,IID
CXCL10,RAC2,P02778,P15153,IID
CXCL10,IDO1,P02778,P14902,IID
CXCL10,CCL19,P02778,Q99731,IID
CXCL10,CCR1,P02778,P32246,IID
CXCL10,LAP3,P02778,P28838,IID
CXCL10,BTRC,P02778,Q9Y297,IID
CXCL10,FGFRL1,P02778,Q8N441,IID
CXCL10,IL18,P02778,Q14116,IID
CXCL10,ERP29,P02778,P30040,IID
CXCL10,LAMP3,P02778,Q9UQV4,IID
CXCL10,TRIM25,P02778,Q14258,IID
CXCL10,GCH1,P02778,P30793,IID
CXCL10,MICA,P02778,Q29983,IID
CXCL10,CXCR5,P02778,P32302,IID
CXCL10,VEGFA,P02778,P15692,IID
CXCL10,IL17F,P02778,Q96PD4,IID
CXCL10,THBS1,P02778,P07996,IID
CXCL10,PPARG,P02778,P37231,IID
CXCL10,CXCR4,P02778,P61073,IID
CXCL10,ACOT11,P02778,Q8WXI4,IID
CXCL10,NR3C1,P02778,P04150,IID
CXCL10,XCL1,P02778,P47992,IID
CXCL10,MIA3,P02778,Q5JRA6,IID
CXCL10,CXCR3,P02778,P49682,IID
CXCL10,C3AR1,P02778,Q16581,IID
CXCL10,RARRES3,P02778,Q9UL19,IID
CXCL10,LY96,P02778,Q9Y6Y9,IID
CXCL10,MPP1,P02778,Q00013,IID
CXCL10,DPP8,P02778,Q6V1X1,IID
CXCL10,CXCL9,P02778,Q07325,IID
CXCL10,DHX9,P02778,Q08211,IID
CXCL10,TUBB,P02778,P07437,IID
CXCL10,VAV3,P02778,Q9UKW4,IID
CXCL10,CCL13,P02778,Q99616,IID
CXCL10,CCR7,P02778,P32248,IID
CXCL10,CCL3,P02778,P10147,IID
CXCL10,NFKB2,P02778,Q00653,IID
CXCL10,CCL3L1,P02778,P16619,IID
CXCL10,SPI1,P02778,P17947,IID
CXCL10,ELF1,P02778,P32519,IID
CXCL10,CCL28,P02778,Q9NRJ3,IID
CXCL10,TYMP,P02778,P19971,IID
CXCL10,IFI6,P02778,P09912,IID
CXCL10,FPR3,P02778,P25089,IID
CXCL10,HERC5,P02778,Q9UII4,IID
CXCL10,TNFAIP3,P02778,P21580,IID
CXCL10,COMMD1,P02778,Q8N668,IID
CXCL10,AZU1,P02778,P20160,IID
CXCL10,IRF4,P02778,Q15306,IID
CXCL10,MASP1,P02778,P48740,IID
CXCL10,TBCE,P02778,Q15813,IID
CXCL10,PDIA4,P02778,P13667,IID
CXCL10,PTPRC,P02778,P08575,IID
CXCL10,ISG15,P02778,P05161,IID
CXCL10,PF4V1,P02778,P10720,IID
CXCL10,STAC,P02778,Q99469,IID
CXCL10,CXCL3,P02778,P19876,IID
CXCL10,KPNA2,P02778,P52292,IID
CXCL10,PHLDA3,P02778,Q9Y5J5,IID
CXCL10,PSME2,P02778,Q9UL46,IID
CXCL10,C1S,P02778,P09871,IID
HLA-DPB1,NFS1,P04440,Q9Y697,IID
HLA-DPB1,HLA-DRB5,P04440,Q30154,IID
HLA-DPB1,ITGB2,P04440,P05107,IID
HLA-DPB1,FCGR2B,P04440,P31994,IID
HLA-DPB1,HLA-B,P04440,P10319,IID
HLA-DPB1,LAIR1,P04440,Q6GTX8,IID
HLA-DPB1,HLA-B,P04440,Q31612,IID
HLA-DPB1,CEACAM21,P04440,Q3KPI0,IID
HLA-DPB1,CD1C,P04440,P29017,IID
HLA-DPB1,RANBP9,P04440,Q96S59,IID
HLA-DPB1,ITK,P04440,Q08881,IID
HLA-DPB1,HLA-C,P04440,P30501,IID
HLA-DPB1,HLA-B,P04440,P30475,IID
HLA-DPB1,HLA-A,P04440,P30459,IID
HLA-DPB1,HLA-B,P04440,P30483,IID
HLA-DPB1,HLA-B,P04440,P30490,IID
HLA-DPB1,HLA-DMA,P04440,P28067,IID
HLA-DPB1,EVI2B,P04440,P34910,IID
HLA-DPB1,CSF1R,P04440,P07333,IID
HLA-DPB1,VSTM2A,P04440,Q8TAG5,IID
HLA-DPB1,HLA-A,P04440,P10314,IID
HLA-DPB1,HLA-C,P04440,Q29865,IID
HLA-DPB1,RNASE6,P04440,Q93091,IID
HLA-DPB1,CD1A,P04440,P06126,IID
HLA-DPB1,CD52,P04440,P31358,IID
HLA-DPB1,FCGR3A,P04440,P08637,IID
HLA-DPB1,TNFRSF14,P04440,Q92956,IID
HLA-DPB1,HLA-C,P04440,Q9TNN7,IID
HLA-DPB1,HLA-F,P04440,P30511,IID
HLA-DPB1,CD300LF,P04440,Q8TDQ1,IID
HLA-DPB1,RAET1E,P04440,Q8TD07,IID
HLA-DPB1,MICB,P04440,Q29980,IID
HLA-DPB1,HLA-DRB1,P04440,Q30167,IID
HLA-DPB1,MR1,P04440,Q95460,IID
HLA-DPB1,CXCL9,P04440,Q07325,IID
HLA-DPB1,CD48,P04440,P09326,IID
HLA-DPB1,COLEC12,P04440,Q5KU26,IID
HLA-DPB1,IDE,P04440,P14735,IID
HLA-DPB1,CD163,P04440,Q86VB7,IID
HLA-DPB1,FCGR2A,P04440,P12318,IID
HLA-DPB1,PTPRC,P04440,P08575,IID
HLA-DPB1,AZGP1,P04440,P25311,IID
HLA-DPB1,ULBP3,P04440,Q9BZM4,IID
HLA-DPB1,HLA-B,P04440,P30480,IID
HLA-DPB1,HLA-B,P04440,P30486,IID
HLA-DPB1,GID4,P04440,Q8IVV7,IID
HLA-DPB1,HLA-B,P04440,P30492,IID
HLA-DPB1,CCL4,P04440,P13236,IID
HLA-DPB1,CD96,P04440,P40200,IID
HLA-DPB1,HLA-DQA2,P04440,Q5Y7D2,IID
HLA-DPB1,IL7R,P04440,P16871,IID
HLA-DPB1,HLA-A,P04440,P30456,IID
HLA-DPB1,VWCE,P04440,Q96DN2,IID
HLA-DPB1,HLA-DQA1,P04440,Q08AS3,IID
HLA-DPB1,HLA-B,P04440,Q95365,IID
HLA-DPB1,HLA-DRB1,P04440,Q9TQE0,IID
HLA-DPB1,HLA-B,P04440,P30466,IID
HLA-DPB1,HLA-A,P04440,P30447,IID
HLA-DPB1,HLA-C,P04440,Q29963,IID
HLA-DPB1,HLA-B,P04440,Q04826,IID
HLA-DPB1,DOCK2,P04440,Q92608,IID
HLA-DPB1,CLEC10A,P04440,Q8IUN9,IID
HLA-DPB1,HLA-DRB1,P04440,Q30134,IID
HLA-DPB1,EVI2A,P04440,P22794,IID
HLA-DPB1,NFAM1,P04440,Q8NET5,IID
HLA-DPB1,MNDA,P04440,P41218,IID
HLA-DPB1,HLA-DPA1,P04440,P20036,IID
HLA-DPB1,HLA-A,P04440,P30455,IID
HLA-DPB1,IL18,P04440,Q14116,IID
HLA-DPB1,ALOX5AP,P04440,P20292,IID
HLA-DPB1,ROBO2,P04440,Q9HCK4,IID
HLA-DPB1,HLA-B,P04440,Q29718,IID
HLA-DPB1,RANBP10,P04440,Q6VN20,IID
HLA-DPB1,HLA-C,P04440,P30504,IID
HLA-DPB1,HLA-B,P04440,P30481,IID
HLA-DPB1,HLA-DRB1,P04440,P13760,IID
HLA-DPB1,HLA-B,P04440,P30495,IID
HLA-DPB1,CD2,P04440,P06729,IID
HLA-DPB1,HLA-B,P04440,Q31610,IID
HLA-DPB1,CD3E,P04440,P07766,IID
HLA-DPB1,HLA-B,P04440,P30491,IID
HLA-DPB1,TNFSF13B,P04440,Q9Y275,IID
HLA-DPB1,RMND5A,P04440,Q9H871,IID
HLA-DPB1,LCP1,P04440,P13796,IID
HLA-DPB1,CPVL,P04440,Q9H3G5,IID
HLA-DPB1,SOST,P04440,Q9BQB4,IID
HLA-DPB1,THBS1,P04440,P07996,IID
HLA-DPB1,HLA-A,P04440,P16190,IID
HLA-DPB1,TRIM22,P04440,Q8IYM9,IID
HLA-DPB1,HLA-B,P04440,P30484,IID
HLA-DPB1,TRIP6,P04440,Q15654,IID
HLA-DPB1,GCNT2,P04440,Q8N0V5,IID
HLA-DPB1,HLA-B,P04440,P30461,IID
HLA-DPB1,HLA-DRB1,P04440,P20039,IID
HLA-DPB1,MICA,P04440,Q29983,IID
HLA-DPB1,YPEL5,P04440,P62699,IID
HLA-DPB1,HLA-DOB,P04440,P13765,IID
HLA-DPB1,IRF8,P04440,Q02556,IID
HLA-DPB1,CCL5,P04440,P13501,IID
HLA-DPB1,ITGAL,P04440,P20701,IID
HLA-DPB1,HAVCR2,P04440,Q8TDQ0,IID
HLA-DPB1,ARHGDIB,P04440,P52566,IID
HLA-DPB1,HLA-A,P04440,P18462,IID
HLA-DPB1,CD1D,P04440,P15813,IID
HLA-DPB1,TREM2,P04440,Q9NZC2,IID
HLA-DPB1,HLA-DRB4,P04440,P13762,IID
HLA-DPB1,HLA-DQB2,P04440,P05538,IID
HLA-DPB1,ST3GAL5,P04440,Q9UNP4,IID
HLA-DPB1,LY96,P04440,Q9Y6Y9,IID
HLA-DPB1,HLA-B,P04440,P30493,IID
HLA-DPB1,SLAMF7,P04440,Q9NQ25,IID
HLA-DPB1,HLA-B,P04440,P30685,IID
HLA-DPB1,HLA-B,P04440,P18464,IID
HLA-DPB1,HCLS1,P04440,P14317,IID
HLA-DPB1,CD14,P04440,P08571,IID
HLA-DPB1,HLA-B,P04440,P30487,IID
HLA-DPB1,LGR4,P04440,Q9BXB1,IID
HLA-DPB1,LYZ,P04440,P61626,IID
HLA-DPB1,CORO1A,P04440,P31146,IID
HLA-DPB1,RELB,P04440,Q01201,IID
HLA-DPB1,HLA-B,P04440,P30462,IID
HLA-DPB1,CD27,P04440,P26842,IID
HLA-DPB1,SLAMF8,P04440,Q9P0V8,IID
HLA-DPB1,ICAM1,P04440,P05362,IID
HLA-DPB1,HLA-C,P04440,Q95604,IID
HLA-DPB1,MS4A4A,P04440,Q96JQ5,IID
HLA-DPB1,C2,P04440,P06681,IID
HLA-DPB1,CD86,P04440,P42081,IID
HLA-DPB1,NRG1,P04440,Q02297,IID
HLA-DPB1,GID8,P04440,Q9NWU2,IID
HLA-DPB1,HLA-A,P04440,P30443,IID
HLA-DPB1,TAPBPL,P04440,Q9BX59,IID
HLA-DPB1,NECTIN2,P04440,Q92692,IID
HLA-DPB1,CD1B,P04440,P29016,IID
HLA-DPB1,HLA-A,P04440,P16189,IID
HLA-DPB1,HLA-B,P04440,P30479,IID
HLA-DPB1,HLA-DRB3,P04440,P79483,IID
HLA-DPB1,HLA-B,P04440,P30485,IID
HLA-DPB1,STAB1,P04440,Q9NY15,IID
HLA-DPB1,HLA-B,P04440,P30460,IID
HLA-DPB1,GIMAP6,P04440,Q6P9H5,IID
HLA-DPB1,HLA-C,P04440,P30505,IID
HLA-DPB1,RTN4,P04440,Q9NQC3,IID
HLA-DPB1,HLA-C,P04440,P30499,IID
HLA-DPB1,EXT2,P04440,Q93063,IID
HLA-DPB1,HLA-A,P04440,P05534,IID
HLA-DPB1,HLA-B,P04440,Q29940,IID
HLA-DPB1,CLEC4A,P04440,Q9UMR7,IID
HLA-DPB1,HLA-B,P04440,P30464,IID
HLA-DPB1,SRGN,P04440,P10124,IID
HLA-DPB1,RGS1,P04440,Q08116,IID
HLA-DPB1,HLA-A,P04440,Q09160,IID
HLA-DPB1,VSIG4,P04440,Q9Y279,IID
HLA-DPB1,HCK,P04440,P08631,IID
HLA-DPB1,HLA-A,P04440,P10316,IID
HLA-DPB1,CD40,P04440,P25942,IID
HLA-DPB1,ARMC8,P04440,Q8IUR7,IID
HLA-DPB1,HLA-A,P04440,P16188,IID
HLA-DPB1,LILRB2,P04440,Q8N423,IID
HLA-DPB1,HLA-E,P04440,P13747,IID
HLA-DPB1,MS4A6A,P04440,Q9H2W1,IID
HLA-DPB1,ATP1B4,P04440,Q9UN42,IID
HLA-DPB1,ITGAM,P04440,P11215,IID
HLA-DPB1,HLA-DOA,P04440,P06340,IID
HLA-DPB1,MKLN1,P04440,Q9UL63,IID
HLA-DPB1,LSP1,P04440,P33241,IID
HLA-DPB1,HLA-A,P04440,P13746,IID
HLA-DPB1,C1S,P04440,P09871,IID
HLA-DPB1,CTSS,P04440,P25774,IID
HLA-DPB1,CD37,P04440,P11049,IID
HLA-DPB1,CD53,P04440,P19397,IID
HLA-DPB1,ARHGAP15,P04440,Q53QZ3,IID
HLA-DPB1,HLA-C,P04440,Q29960,IID
HLA-DPB1,HLA-DRB1,P04440,P13761,IID
HLA-DPB1,HLA-A,P04440,P30512,IID
HLA-DPB1,CD247,P04440,P20963,IID
HLA-DPB1,SERPINA6,P04440,P08185,IID
HLA-DPB1,HLA-DQA1,P04440,Q5Y7H0,IID
HLA-DPB1,NCF4,P04440,Q15080,IID
HLA-DPB1,HLA-C,P04440,P30508,IID
HLA-DPB1,LYRM4,P04440,Q9HD34,IID
HLA-DPB1,IL27RA,P04440,Q6UWB1,IID
HLA-DPB1,C3AR1,P04440,Q16581,IID
HLA-DPB1,HFE,P04440,Q30201,IID
HLA-DPB1,SELL,P04440,P14151,IID
HLA-DPB1,HLA-A,P04440,P30450,IID
HLA-DPB1,IL10RA,P04440,Q13651,IID
HLA-DPB1,TRAF6,P04440,Q9Y4K3,IID
HLA-DPB1,PLEK,P04440,P08567,IID
HLA-DPB1,CD302,P04440,Q8IX05,IID
HLA-DPB1,HLA-A,P04440,P30457,IID
HLA-DPB1,FCGRT,P04440,P55899,IID
HLA-DPB1,FCER1A,P04440,P12319,IID
HLA-DPB1,ERP29,P04440,P30040,IID
HLA-DPB1,LAPTM5,P04440,Q13571,IID
HLA-DPB1,FCGR1B,P04440,Q92637,IID
HLA-DPB1,IL2RG,P04440,P31785,IID
HLA-DPB1,FCER1G,P04440,P30273,IID
HLA-DPB1,AIF1,P04440,P55008,IID
HLA-DPB1,SLA,P04440,Q13239,IID
HLA-DPB1,FNDC1,P04440,Q4ZHG4,IID
HLA-DPB1,HLA-C,P04440,Q07000,IID
HLA-DPB1,HLA-B,P04440,P30498,IID
HLA-DPB1,TBXAS1,P04440,P24557,IID
HLA-DPB1,IRF1,P04440,P10914,IID
HLA-DPB1,B2M,P04440,P61769,IID
HLA-DPB1,LCK,P04440,P06239,IID
HLA-DPB1,HLA-DMB,P04440,P28068,IID
HLA-DPB1,CD276,P04440,Q5ZPR3,IID
HLA-DPB1,GZMK,P04440,P49863,IID
HLA-DPB1,PSG8,P04440,Q9UQ74,IID
HLA-DPB1,RAET1G,P04440,Q6H3X3,IID
HLA-DPB1,GBP1,P04440,P32455,IID
HLA-DPB1,HLA-B,P04440,P18463,IID
HLA-DPB1,HLA-B,P04440,P18465,IID
HLA-DPB1,TNFRSF1B,P04440,P20333,IID
HLA-DPB1,PSMB9,P04440,P28065,IID
HLA-DPB1,SAMSN1,P04440,Q9NSI8,IID
HLA-DPB1,FGL2,P04440,Q14314,IID
HLA-DPB1,HLA-G,P04440,P17693,IID
HLA-DPB1,GZMA,P04440,P12544,IID
HLA-DPB1,COPB1,P04440,P53618,IID
HLA-DPB1,HLA-A,P04440,P30453,IID
HLA-DPB1,HLA-C,P04440,P10321,IID
HLA-DPB1,LZTS2,P04440,Q9BRK4,IID
HLA-DPB1,RAET1L,P04440,Q5VY80,IID
HLA-DPB1,HLA-B,P04440,Q29836,IID
HLA-DPB1,NPC2,P04440,P61916,IID
HLA-DPB1,HLA-B,P04440,P30488,IID
HLA-DPB1,ULBP1,P04440,Q9BZM6,IID
HLA-DPB1,LCP2,P04440,Q13094,IID
HLA-DPB1,HLA-C,P04440,P30510,IID
HLA-DPB1,PROCR,P04440,Q9UNN8,IID
TP53,IL12B,P04637,P29460,IID
INHA,IL4R,P05111,P24394,IID
CFI,CCL2,P05156,P13500,IID
IL6,IFNAR1,P05231,P17181,IID
IL6,CXCL2,P05231,P19875,IID
IL6,CCL5,P05231,P13501,IID
IL6,FGL1,P05231,Q08830,IID
IL6,PKD1,P05231,P98161,IID
IL6,CADM1,P05231,Q9BY67,IID
IL6,APOL2,P05231,Q9BQE5,IID
IL6,IL6ST,P05231,P40189,IID
IL6,CNTF,P05231,P26441,IID
IL6,BOC,P05231,Q9BWV1,IID
IL6,IL6,P05231,P05231,IID
IL6,CARD9,P05231,Q9H257,IID
IL6,PTK2B,P05231,Q14289,IID
IL6,NFKBIA,P05231,P25963,IID
IL6,EPHA3,P05231,P29320,IID
IL6,CCL2,P05231,P13500,IID
IL6,FLT1,P05231,P17948,IID
IL6,YWHAB,P05231,P31946,IID
IL6,FNDC1,P05231,Q4ZHG4,IID
IL6,CXCL8,P05231,P10145,IID
IL6,ZBTB16,P05231,Q05516,IID
IL6,VSIG4,P05231,Q9Y279,IID
IL6,B2M,P05231,P61769,IID
IL6,APBA2,P05231,Q99767,IID
IL6,LTBP2,P05231,Q14767,IID
IL6,gp130,P05231,Q13514,IID
IL6,SATB2,P05231,Q9UPW6,IID
IL6,IL16,P05231,Q14005,IID
IL6,NPC2,P05231,P61916,IID
IL6,SH3GL2,P05231,Q99962,IID
IL6,PTPRJ,P05231,Q12913,IID
IL6,FLT3LG,P05231,P49771,IID
IL6,TAF4B,P05231,Q92750,IID
IL6,S100A7,P05231,P31151,IID
IL6,VEGFA,P05231,P15692,IID
IL6,IL10RA,P05231,Q13651,IID
IL6,IFNAR2,P05231,P48551,IID
IL6,EPHA7,P05231,Q15375,IID
IL6,HAMP,P05231,P81172,IID
IL6,PTPRF,P05231,P10586,IID
IL6,NFKBIZ,P05231,Q9BYH8,IID
IL6,ELAVL1,P05231,Q15717,IID
IL6,CD3E,P05231,P07766,IID
IL6,MPL,P05231,P40238,IID
IL6,HRH1,P05231,P35367,IID
IL6,GAB2,P05231,Q9UQC2,IID
IL6,C5AR1,P05231,P21730,IID
IL6,AGER,P05231,Q15109,IID
IL6,THBD,P05231,P07204,IID
IL6,THBS1,P05231,P07996,IID
IL6,ATP8A2,P05231,Q9NTI2,IID
IL6,IFNE,P05231,Q86WN2,IID
IL6,IL7,P05231,P13232,IID
IL6,CNTFR,P05231,P26992,IID
IL6,PTPRU,P05231,Q92729,IID
IL6,FLNA,P05231,P21333,IID
IL6,IL15,P05231,P40933,IID
IL6,CNKSR3,P05231,Q6P9H4,IID
IL6,CEBPD,P05231,P49716,IID
IL6,VCAM1,P05231,P19320,IID
IL6,CARD8,P05231,Q9Y2G2,IID
IL6,SLC2A3,P05231,P11169,IID
IL6,PDCD1LG2,P05231,Q9BQ51,IID
IL6,IL6R,P05231,P08887,IID
IL6,TAF1,P05231,P21675,IID
IL6,HCAR2,P05231,Q8TDS4,IID
IL6,STAT5A,P05231,P42229,IID
IL6,PCBP1,P05231,Q15365,IID
IL6,PRLR,P05231,P16471,IID
IL6,IL4R,P05231,P24394,IID
IL6,NPY5R,P05231,Q15761,IID
IL6,TNFRSF1A,P05231,P19438,IID
IL6,IL12RB2,P05231,Q99665,IID
IL6,IL22RA2,P05231,Q969J5,IID
IL6,FAM20C,P05231,Q8IXL6,IID
IL6,THPO,P05231,P40225,IID
IL6,CDON,P05231,Q4KMG0,IID
IL6,TCF7L2,P05231,Q9NQB0,IID
IL6,IL20RA,P05231,Q9UHF4,IID
IL6,AXIN2,P05231,Q9Y2T1,IID
